Username,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Followers Count,Connections
latingrammys,0.03602401601067378,0.00021130056250835282,0.3993074054342035,0.017981078183761948,0,54
gloriatrevi,0.00800533689126084,1.8063321406494396e-05,0.3819108280254777,0.005163501520133409,0,12
djkhaled,0.22148098732488325,0.0033696287442073892,0.42368569813453927,0.11347833280625431,85,332
liampayne,0.0266844563042028,8.46032492200967e-05,0.4026322857910287,0.022367417135402044,0,40
ninnikatriina,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
islanddefjam,0.06404269513008672,0.005083430991051268,0.4652389819987585,0.03462177751179231,7,96
nicknoexit,0.01067378252168112,5.220541682519031e-05,0.39210044467695526,0.007245567229248378,2,16
umusic,0.03068712474983322,0.00024123598331087195,0.400695001336541,0.018341881422136,0,46
theacademy,0.02935290193462308,0.0002250486017259839,0.4029569892473118,0.018174500336900424,0,44
vis3s,0.01734489659773182,1.0038366795661484e-05,0.3911795407098121,0.017388417096229614,1,26
snowpatrol,0.00933955970647098,7.636740314190126e-05,0.38249553457514673,0.007962897420496735,0,14
itsstephchen,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
_linz69_,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
dgmedios,0.00266844563042028,2.4609811084607557e-06,0.327292576419214,0.0021332769844969127,0,4
kellyphillips11,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
lindsaylohan,0.02535023348899266,0.00012964669390026992,0.4031737493275955,0.019279222637413357,0,38
jorgelopez_as,0.0066711140760507,2.032858084603192e-05,0.33497206703910615,0.005048334413763135,0,10
primavera_sound,0.02401601067378252,7.355962967128986e-05,0.3992010652463382,0.010352692405913856,13,36
paulinharsimoes,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
tatiana_yoko,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
officialkayflocka,0.00800533689126084,1.0979909736625755e-06,0.3875387797311272,0.006587404819298086,5,12
brianeno,0.00800533689126084,8.794153627183258e-06,0.39635113696456903,0.0057627618229941805,0,12
avenuebeat,0.0533689126084056,9.612936923543169e-05,0.40048089767566125,0.03285695711975623,18,80
notaalta_rooftop,0.00533689126084056,2.384489159170081e-06,0.3853470437017995,0.00483435700481544,3,8
universalpm_us,0.01200800533689126,3.258336133262775e-05,0.3960369881109643,0.00861019399252922,2,18
jennzucs,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
donomar,0.0266844563042028,7.592021909908752e-05,0.39281970649895176,0.014855898755804533,0,40
anna.m.lee09,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
patycantuchile,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
man._.lee,0.00133422281521014,0.0,0.3845561826577732,0.0032707293220556083,0,2
jameshype,0.02134756504336224,0.00010885033563053658,0.39582783205703725,0.012742988538094167,0,32
lehlasamia,0.01734489659773182,7.782517470769249e-06,0.38965427605926695,0.010926688848699274,8,26
_increase_5k.fans._6358,0.00133422281521014,0.0,0.3845561826577732,0.0032707293220556083,1,2
telemundo,0.0066711140760507,2.513009945879799e-05,0.32901668129938544,0.0031351621607524716,0,10
sophieingerman,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
melaniesaraiva,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
islandrecordsuk,0.09873248832555036,0.0004772539840934481,0.40822440087145967,0.056784086044259635,27,148
iamluckydaye,0.06270847231487658,0.00011167475897638116,0.40187667560321716,0.03426436965576727,45,94
clairo,0.14009339559706468,0.000969823369362757,0.41057244590523145,0.08000114763005926,63,210
lexxyyrae,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
theofficialsting,0.05070046697798532,0.0002648015608287915,0.4096747745285597,0.03576296170375723,23,76
universal_international,0.0133422281521014,5.524767867551959e-05,0.3694848410155287,0.00917295632131981,0,20
ratboysband,0.02134756504336224,2.290569891227365e-05,0.39066979410998176,0.010672907588055445,6,32
radiocorazonfm,0.00266844563042028,2.4609811084607557e-06,0.327292576419214,0.0021332769844969127,0,4
norms86,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
darcylars,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
catitapascutti,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
mafalo16,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
mrs_kurkoski,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
